stt,thoigian,giaphong,dientich,diachi,chitiet
16,Tin môi giới đăng 15 giờ trước,"3,6 triệu/tháng- 30 m2",30 m²,"56, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Cho thuê phòng ở Cầu Giấy chuyển vào ở luôn. Ngay ngã ba Dịch Vọng giao với Cầu Giấy – Khúc Thừa Dụ, 300m là ra Công Viên Cầu Giấy
•	Vị trí trung tâm thuận tiện đi lại, các trường đại học lớn như ĐH Quốc Gia, Điện Lực, ĐH Giao thông vận tải,...trên địa bàn quận Cầu Giấy 
•	Dịch vụ điện nước giá rẻ, điện 3k/số, nước sạch Sông Đà 100k/người, mạng 100k/p, có nơi để xe free, thang máy,…
•	Giờ giấc thoải mái, an nình cực kì tốt - hệ thống khóa Cổng vân tay – Hệ Thống khoá cửa thẻ từ riêng từng phòng - camera 24/24h - có quản lý, không chung chủ
•	Nội thất: giường, tủ, điều hòa 12k/ 2 chiều nóng lạnh, nóng lạnh, bàn trang điểm sịn sò, kệ đầu giường, rèm cửa, Kệ bếp
•	 Diện tích các phòng từ 26m2 – 30m2
Địa chỉ: số nhà 56 Dịch Vọng, ngay chợ Dịch Vọng (Hoặc đi từ ngõ 59 Khúc Thừa Dụ vào)"
15,Tin cá nhân đăng 15 giờ trước,"4,5 triệu/tháng- 51 m2",51 m²,"30, Đường Quang Tiến, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê tầng 2 nhà mới xây mặt phố 30 Quang tiến, gồm 2 PN, WC và khu phụ khép kín.
+ Nhà hướng đông, 3 mặt có cửa sổ thoáng mát, tầng 1 để xe thoải mái, có chỗ đỗ ô tô qua đêm miễn phí phù hợp làm văn phòng kết hợp chỗ ở gia đình.
+ Nội thất đầy đủ Điều hòa, nóng lạnh, máy giặt ....
+ Giao thông thuận lợi, cách Đại Lộ Thăng Long 500m, cách Mỹ Đình, Keangnam 5 phút đi xe. Gần chợ, trường cấp 2-3 và Vinhomes Smart city. Đối diện Vinmart 83 Quang Tiến.
+ Khu phố an ninh tốt."
13,Tin cá nhân đăng 15 giờ trước,"1,5 triệu/tháng- 10 m2",10 m²,"số 10 ngách 43 ngõ quan thổ 3, Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",phòng thoáng đi lại thuận tiện gần chợ an ninh tốt chỗ để xe thoai mái khu phụ có nóng lạnh có bếp riêng biẹt
19,Tin cá nhân đăng 15 giờ trước,"3,7 triệu/tháng GIÁ TỐT- 30 m2",30 m²,"106 Ngõ 72/2, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","-Bạn đang mong muốn sống trong 1 căn phòng thoáng đẹp khép kín của chung cư mini tiện nghi, thoải mái, yên tĩnh, thoáng mát, tự do giờ giấc như chính nhà của mình? Bạn đang mong muốn thuê căn phòng giá cả hợp lý mà lại rất chất lượng?
Hiện tại mình đang có phòng tại:
- Địa chỉ: Số nhà 106, ngách 2/5, ngõ 72, đường Dương Quảng Hàm, phường Quan Hoa, quận Cầu Giấy, Hà Nội (cạnh chợ Quan Hoa)
Nhà gần Cầu Giấy chỉ mất 2 phút đi xe, cách lottemart 5 phút đi xe, cách công viên Nghĩa Đô 5 phút đi bộ; cách phố Quan Hoa, đường Cầu Giấy 100m; cách đường Nguyễn Văn Huyên 200m, Nguyễn Khánh Toàn 100m….
- Tiện ích trong 1 phòng KK gồm:
+ Điều hòa
+ Giường cho bạn giấc ngủ ngon.
+ Tủ áo quần cho bạn gọn gàng ngăn nắp.
+ Nóng lạnh an toàn chống giật...
+ Khu vệ sinh khép kín, riêng biệt có đầy đủ TBVS cho bạn riêng tư, kín đáo, sạch sẽ.
+ Khu bếp riêng biệt không lo ám mùi vào phòng
+ Có chỗ để đồ riêng gọn gàng cho căn phòng thêm rộng rãi.
+ Có cửa sổ thoáng mát, ban công để máy giặt phơi đồ thoáng rộng tách biệt với phòng ngủ.
- Nhà có chỗ để xe ở tầng 1 rộng rãi miễn phí không lo trầy xước
- Giờ giấc thoải mái không chung chủ. Có khóa vân tay, khóa cơ, camera an ninh an toàn cho tài sản của bạn.
- Không gian sống thoáng mát, yên tĩnh, sạch sẽ, có vệ sinh lau dọn hàng tuần.
- Phòng rộng: 30m2
- Giá: 3.7 tr
- Liên hệ: Mr Lực (Chính chủ không qua môi giới)
(Ưu tiên hộ gia đình; Các bạn sinh viên ở sạch sẽ; người đi làm tử tế, lịch sự, ở lâu dài)"
12,Tin môi giới đăng 14 giờ trước,"3,5 triệu/tháng- 20 m2",20 m²,"CT1B nghĩa Đô, 106 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Cho thuê phòng khép kín trong tòa nhà.
Diện tích 20-25 m2, vệ sinh khép kín, có điều hòa, nóng lạnh, giường tủ, bếp.
Khu vực có nhiều không gian công cộng, bể bơi, công viên, phòng tập.
Tiện đi lại và làm việc."
17,Tin môi giới đăng 15 giờ trước,"2,1 triệu/tháng- 18 m2",18 m²,"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Phòng trọ kk ngõ 53/45 Trần Quốc Vượng giá 2tr1, phòng đủ đồ 2tr8-3tr2
Diện tích 18m-24m
Căn nhà có 5 tầng, dạng ccmn, dưới tầng một để xe, phòng kk có cửa sổ rộng gió mát tự nhiên, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, chậu rửa bát, tủ bếp, tuỳ theo phòng nhé, nhà gần DHQG, bến xe Mỹ Đình, gần các trung tâm thương mại lớn, an ninh đảm bảo, điện nước giá rẻ, mạng cap quang, đi lại thuận tiện như đi học, đi làm, hộ gia đình đều ở được, phòng to ở được 3-4 người thoải mái
Xem nhà gọi điện thoại trước nhe"
11,Tin môi giới đăng 14 giờ trước,"3,5 triệu/tháng- 30 m2",30 m²,"tố hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","❤❤❤PHÒNG ĐẸP GIÁ SỐC CHỈ TỪ 3t5

✅✅ĐÃ CÓ ĐẦY ĐỦ ĐỒ:
- GIƯỜNG
TỦ QUẦN ÁO
ĐIỀU HOÀ - NÓNG LẠNH . 
BÀN BẾP TỦ BẾP
VỆ SINH KHÉP KÍN.

☎CHÍNH CHỦ , XEM PHÒNG MIỄN PHÍ.
 Lh chủ nhà"
14,Tin cá nhân đăng 15 giờ trước,"2,8 triệu/tháng- 17 m2",17 m²,"Đường A40, Phường La Khê, Quận Hà Đông, Hà Nội","Còn 1 phòng duy nhất cho thuê tại Yên Lộ, La Khê, Hà Đông. 
❤️ 17m2  xinh xắn full đồ, chỉ việc xách vali vào ở
❤️ Phòng có cửa sổ lớn, ban công xinh, view rộng
❤ Đủ giường, tủ, bàn ghế, gương,kệ, NL, ĐH
❤ Chung phòng tắm với GV người nước ngoài văn minh, lịch sự ==> Là môi trường tuyệt vời cho bạn nào muốn nâng cao khả năng giao tiếp Tiếng Anh
❤ Bếp chung tủ lạnh, nồi cơm điện, bếp nướng và lò vi sóng có sẵn
❤️ Máy giặt và sân phơi dùng chung tầng 4
❤️ Có sân để xe trước nhà miễn phí

🌱 Giao thông thuận lợi sang Văn Phú, Văn Khê, Mộ Lao,...
🌱 Gần Aeon Hà Đông, khu đô thị, Dương Nội, The Light...
🌱 Gần 2 siêu thị lớn, chợ dân sinh, bến xe bus
🌱 Không chung chủ, thoải mái giờ giấc, an ninh tốt"
10,Tin cá nhân đăng 14 giờ trước,"1,5 triệu/tháng- 15 m2",15 m²,"60 NGÕ 48, Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","Mình cho thuê 01 phòng khép kín, ra đóng vào mở tự do 
+ diện tích  15 m2, tầng 2,  có nóng lạnh giá 1.5 tr( 1 người ở); 1.7 tr nếu ở 2;
+ Đã có  máy giặt, bếp ga, khu bếp riêng dưới tầng 1 
+ Điện nước giá dân, có internet.
+ Tiền nhà cọc 1 tháng đóng 1 tháng 1. 
+ Mọi người trong nhà dễ gần, tốt bụng; gần hồ có thể tập thể dục hàng ngày, không khí trong lành.
 Địa chỉ: Số 60 ngõ 48 Ngọc Hồi, Hoàng Liệt, Hoàng Mai, gần bến xe Nước Ngầm.
 liên lệ:
An"
18,Tin môi giới đăng 15 giờ trước,"1,5 triệu/tháng- 15 m2",15 m²,"Đường Thiên Hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Phòng trọ kk ngõ 127/66 phố Thiên Hiền giá rẻ 1tr5-2tr1, phòng đủ đồ 2tr7-3tr2
Diện tích 15m-24m
Căn nhà có 6 tầng, xe để dưới tầng một, phòng kk có cửa sổ rộng thoáng mát rượi, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, chậu rửa bát, tuỳ theo phòng nhé, phòng bé chưa có đồ nhé, các bạn tự túc, nhà gần chợ dân sinh, siêu thị lớn, điểm xe buýt đầu ngõ, gần trường học, an ninh đảm bảo, điện nước giá rẻ, mạng cap quang, đi lại thuận tiện như đi học, đi làm, hộ gia đình đều ở được, phòng to ở được 3-4 người
Xem nhà gọi điện thoại trước nhe"
23,Tin cá nhân đăng 15 giờ trước,"1,8 triệu/tháng- 20 m2",20 m²,"189, Đường Hoàng Hoa Thám, Phường Kim Mã, Quận Ba Đình, Hà Nội","Cho Thuê Phòng Ngõ 189 Hoàng Hoa Thám thông Sang 279 đội cấn giá 20m2 giá từ 1.8tr/tháng
Cho thuê phòng ngõ 279 đội cấn thông ra ngõ 189 Hoàng Hoa Thám, nhà mới.
Nội Thất : Điều Hòa, Nóng lạnh, giường tủ, sàn gỗ, bếp nấu ăn , đèn trang trí, máy giặt….internet chỗ để xe .
Phòng Vệ Sinh chung có đầy đủ thiết bị, có nóng lạnh
Ngõ oto tránh nhau, gần nhà cho chợ cóc.
Chỗ phơi đồ rộng có máy giặt
Miễn phí điện chung, ga, bếp ga, nấu ăn, chỗ để xe…
Nhà không chung chủ, giờ giấc thoải mái, có camera an ninh
Nhà như hình
Cho thuê 1.8đến 2,3tr/tháng
Liên Hệ :"
21,Tin môi giới đăng 15 giờ trước,"1,5 triệu/tháng- 20 m2",20 m²,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Cần tìm NGƯỜI ở ghép dạng Homestay tại địa chỉ: Ngõ 21 Lê Văn Lương – Nhân Chính – Thanh Xuân-HN. cách đường Hoàng Ngân và bến xe bus nhanh BRT 100m. Cách tòa chung cư Golden Palm và Star City 50m.
-> Phù hợp với các bạn sinh viên, người mới đi làm vui vẻ hòa đồng

Không gian hiện đại, đầy đủ tiện nghi, môi trường sống dân trí cao, tiện đi lại bằng tất cả các phương tiện như: xe máy, taxi, bus nhanh, bus.
=> MIỄN PHÍ: điện, nước sạch, mạng internet, gas, có người dọn tổng vệ sinh hàng tuần

Căn hộ nằm tại khu dân cư cao cấp đảm bảo an ninh, sạch sẽ, thuận tiện giao thông, đầy đủ tiện nghi chỉ việc xách quần áo đến ở
✨ Mỗi người có 2 tủ quần áo có khóa riêng
✨ Chăn ga gối đệm đầy đủ cho từng người
✨ Bếp, tủ bếp , nồi niêu bát đĩa, dao, thớt, bàn ăn
✨ TIVI TRUYỀN HÌNH CÁP RIÊNG TỪNG PHÒNG, 2 Tủ lạnh, 2 máy giặt, bình nóng lạnh, điều hòa."
28,Tin cá nhân đăng 2 tuần trước,"2,1 triệu/tháng- 16 m2",16 m²,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Nhà trọ mới xây, gác xép bê tông cao ráo, sân vườn ngõ rộng. Khu phụ khép kín."
22,Tin môi giới đăng 15 giờ trước,"1,5 triệu/tháng- 15 m2",15 m²,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Phòng trọ kk ngõ 66/35/16b Hồ Tùng Mậu giá rẻ 1tr5-2tr, phòng đủ đồ 2tr5
Diện tích 15m-20m
Căn nhà có 6 tầng, tầng một để xe, phòng kk có cửa sổ rộng gió mát rượi, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, tuỳ theo phòng, phòng nhỏ chưa có đồ đạc, các bạn tự túc, nhà gần chợ Đồng Xa, gần Dh quốc gia, Dh Thương mại, bến xe Mỹ Đình, an ninh đảm bảo, điện nước giá rẻ, mạng cap quang, vị trí thuận tiện như đi làm, đi học, đều ở được, phòng to ở được 3 người 
Xem nhà gọi điện thoại trước nhe"
27,Tin cá nhân đăng 13 giờ trước,5 triệu/tháng GIÁ TỐT- 35 m2,35 m²,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê phòng kiểu CCMN 1N1K tại số 12, ngõ 89 đường Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm, Hà Nội (cuối ngõ 4 Đồng Me đi vào khoảng 30m) trong tòa nhà 6 tầng thang máy, diện tích 35m2, 1 ngủ 1 khách, bếp ngăn riêng biệt với phòng không lo ám mùi vào phòng.
  - Vị trí: cách mầm non Mễ Trì Hạ 50m, cách cấp 1&2 Mễ trì 50m, cách chợ Mễ Trì Hạ 100m, cách đường Mễ Trì 100m, cách The Garden 200m, cách Keangnam 500m...
  - Nhà đã có đủ đồ như : điều hòa, nóng lạnh, tủ lạnh, máy giặt, giường, tủ, táp, bàn phấn, rèm, bàn ghế, tủ bếp, bếp từ, wifi tốc độ cao...để xe miễn phí.
  - Diện tích: 35m2
  - Giá: 5tr/tháng
  - LHCC :
(Nhà mới 100% vào ở được ngay, khách chỉ việc xách đồ tới ở)"
26,Tin cá nhân đăng 15 giờ trước,"3,7 triệu/tháng GIÁ TỐT- 30 m2",30 m²,"106 Ngõ 72/2, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","-Bạn đang mong muốn sống trong 1 căn phòng thoáng đẹp khép kín của chung cư mini tiện nghi, thoải mái, yên tĩnh, thoáng mát, tự do giờ giấc như chính nhà của mình? Bạn đang mong muốn thuê căn phòng giá cả hợp lý mà lại rất chất lượng?
Hiện tại mình đang có phòng tại:
- Địa chỉ: Số nhà 106, ngách 2/5, ngõ 72, đường Dương Quảng Hàm, phường Quan Hoa, quận Cầu Giấy, Hà Nội (cạnh chợ Quan Hoa)
Nhà gần Cầu Giấy chỉ mất 2 phút đi xe, cách lottemart 5 phút đi xe, cách công viên Nghĩa Đô 5 phút đi bộ; cách phố Quan Hoa, đường Cầu Giấy 100m; cách đường Nguyễn Văn Huyên 200m, Nguyễn Khánh Toàn 100m….
- Tiện ích trong 1 phòng KK gồm:
+ Điều hòa
+ Giường cho bạn giấc ngủ ngon.
+ Tủ áo quần cho bạn gọn gàng ngăn nắp.
+ Nóng lạnh an toàn chống giật...
+ Khu vệ sinh khép kín, riêng biệt có đầy đủ TBVS cho bạn riêng tư, kín đáo, sạch sẽ.
+ Khu bếp riêng biệt không lo ám mùi vào phòng
+ Có chỗ để đồ riêng gọn gàng cho căn phòng thêm rộng rãi.
+ Có cửa sổ thoáng mát, ban công để máy giặt phơi đồ thoáng rộng tách biệt với phòng ngủ.
- Nhà có chỗ để xe ở tầng 1 rộng rãi miễn phí không lo trầy xước
- Giờ giấc thoải mái không chung chủ. Có khóa vân tay, khóa cơ, camera an ninh an toàn cho tài sản của bạn.
- Không gian sống thoáng mát, yên tĩnh, sạch sẽ, có vệ sinh lau dọn hàng tuần.
- Phòng rộng: 30m2
- Giá: 3.7 tr
- Liên hệ: Mr Lực (Chính chủ không qua môi giới)"
29,Tin cá nhân đăng hôm qua,"4,5 triệu/tháng- 40 m2",40 m²,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","phòng trọ với đầy đủ tiện nghi, không gian thoáng. có ban công. có bếp riêng."
24,Tin môi giới đăng 15 giờ trước,"3,3 triệu/tháng- 25 m2",25 m²,"Ngõ 259, Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","🏁 Địa chỉ: Số 65B ngõ 259 #Yên_Hòa - #Cầu_Giấy - #HN (cạnh trường tiểu học Yên Hòa)
☘ Cách ngã tư  #Trung_Kính - #Mạc_Thái_Tổ 150m
💎 Thiết kế: Phòng đơn khép kín có gác xép rộng 25m2, cửa sổ rộng.
☘ Thiết bị: Điều hòa, nóng lạnh, tủ quần áo, kệ bếp.
☘ Không chung chủ, giờ giấc tự do. 
☘ Dịch vụ: Điện 3,8k/số; nước 30k/khối; net 100k/phòng; vệ sinh 30k/người.
💸 Giá chỉ từ 3tr3"
25,Tin môi giới đăng 4 ngày trước,"2,6 triệu/tháng- 15 m2",15 m²,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội","+ Khuyến Mại 500k tháng đầu cho anh chị em thuê hợp đồng lâu dài.
+ Mình còn trống phòng như hình ở ngay lối vào bảo tàng HCM.Đi ra BX Yên Nghĩa 100m.
+ Riêng chủ, giờ giấc tự do, an ninh tốt.
+ Nội thất: giường, tủ quần áo, bàn ghế, điều hòa, nóng lạnh, máy giặt, có chỗ nấu ăn riêng.
+ Mình còn phòng giá 2tr6 và 2tr8."
20,Tin môi giới đăng 15 giờ trước,"2,2 triệu/tháng- 15 m2",15 m²,"Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội","Chính chủ cho thuê phòng trọ ngõ 139 Tam Trinh( mặt sau nhà là Time City) - Q.Hoàng Mai - Hà Nội
-   Diện tích 15-25m2 có đầy đủ 
+ Vệ sinh khép kín, Bồn rửa , chỗ nấu ăn, chỗ phơi đồ
+ Gác xép ngủ hoặc để đồ
+ Tủ quần áo
+ Điều hoà
+ Bình nóng lạnh
+ Internet tốc độ cao
+ Khu rất an ninh có camera theo dõi 24/24, sạch sẽ...
+ hiện còn 2 phòng giá 2tr2
+ đóng tiền 1 tháng/ lần, cọc 1 tháng
Lh chủ nhà bác Lý để xem trực tiếp"
34,Tin môi giới đăng 15 giờ trước,"3,5 triệu/tháng- 32 m2",32 m²,"Đường Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Cho thuê một phòng trong nhà riêng ngay gần công viên 1 tháng 6, nhà mặt ngõ thông, ô tô đi.
Gần nhiều trường đại học (Y, Ngân Hàng, Thủy Lợi, Văn Hóa, Mỹ Thuật)
Thuân tiện chợ, siêu thị, mall, gao thông, bệnh viện, trường học
Khu dân cư tri thức, rất yên tĩnh
Phòng rất thoáng, có 2 ban công rộng rãi
Đã có giường, đệm, chăn ga, bộ bàn ghế, giá quần áo, kệ đồ
Có đủ điều hòa, vs có nóng lạnh, có lò vi sóng
Tầng 1 có tủ lạnh và máy giặt, để xe
Giờ giấc tự do, chìa khóa riêng
Thanh toán hàng tháng, cọc 1 tháng
Cần người thuê ý thức tốt, lành mạnh"
33,Tin môi giới đăng 15 giờ trước,"2,5 triệu/tháng- 26 m2",26 m²,"Đường Lâm Du, Phường Bồ Đề, Quận Long Biên, Hà Nội","Tòa nhà 6 tầng mặt phố có phòng đủ tiện nghi cho thuê. 
Toàn bộ các phòng đều khép kín, diện tích mỗi phòng từ 25 - 35m2, được trang bị đầy đủ điều hòa, nóng lạnh, giường đệm, tủ quần áo, bàn ghế, tivi, cáp, nét. 
Nhà vệ sinh đầy đủ bồn cầu, vòi hoa sen, gương, chậu.
Tòa nhà nằm trong khu an ninh cực tốt, được trang bị camera giám sát 24/24. Giờ giấc đi lại thoải mái.
Giá phòng: Studio 25m2 - 2.500.000 VNĐ.
Vị trí nhà cực đẹp, chỉ cách cầu Chương Dương khoảng 600m cách trung tâm hồ Hoàn Kiếm khoảng hơn 2km.
Địa chỉ: 205 đường Lâm Du, Hà Nội."
