stt,thoigian,giaphong,dientich,diachi
17,03/2021,2100000,18,"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
11,03/2021,3500000,30,"tố hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
14,03/2021,2800000,17,"Đường A40, Phường La Khê, Quận Hà Đông, Hà Nội"
10,03/2021,1500000,15,"60 NGÕ 48, Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"
18,03/2021,1500000,15,"Đường Thiên Hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
23,03/2021,1800000,20,"189, Đường Hoàng Hoa Thám, Phường Kim Mã, Quận Ba Đình, Hà Nội"
21,03/2021,1500000,20,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"
28,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
22,03/2021,1500000,15,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
27,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
26,03/2021,3700000,30,"106 Ngõ 72/2, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
29,03/2021,4500000,40,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
24,03/2021,3300000,25,"Ngõ 259, Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội"
25,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
20,03/2021,2200000,15,"Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội"
34,03/2021,3500000,32,"Đường Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
33,03/2021,2500000,26,"Đường Lâm Du, Phường Bồ Đề, Quận Long Biên, Hà Nội"
38,03/2021,3000000,26,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội"
31,03/2021,2200000,20,"Số 19, ngách 197/61, ngõ 181., Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội"
37,03/2021,1300000,100,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội"
36,03/2021,2500000,25,"Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội"
30,03/2021,3800000,30,"Ngõ 402, Đường Mỹ Đình 1, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
32,03/2021,2200000,25,"28, Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
35,03/2021,2800000,18,"Ngõ 195, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội"
39,03/2021,3500000,30,"27, ngõ 394 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
40,03/2021,1400000,14,"SN 31 trường chinh đại la ngõ, trường chinh đại la, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
43,03/2021,1900000,19,"96/2, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
42,03/2021,1500000,17,"SN 31d trần bình viện 198 SN 1, trần bình viện 198, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
45,03/2021,1500000,12,"275, Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội"
41,03/2021,1400000,15,"Ngõ 190a nguyễn trãi SN 1d/33, Đường Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
46,03/2021,1000000,28,"Đường Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
48,03/2021,3000000,20,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
44,03/2021,3000000,23,"Đường Bảo Linh, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội"
49,03/2021,2500000,15,"đường Miếu Đầm, Nam Từ Liêm, Hà Nội, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
47,03/2021,4200000,25,"Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội"
50,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
52,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
51,03/2021,4500000,40,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
55,03/2021,2500000,25,"10, Đường Thụy Phương, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội"
53,12/2020,4700000,35,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
57,03/2021,3500000,26,"Đường Khâm Thiên, Phường Thổ Quan, Quận Đống Đa, Hà Nội"
54,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
58,03/2021,3000000,25,"Triều Khúc, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội"
59,03/2021,2200000,20,"số 25 ngõ 207, Phố Bùi Xương Trach, Phường Khương Đình, Quận Thanh Xuân, Hà Nội"
56,03/2021,3000000,22,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
62,03/2021,3000000,25,"Đường Mễ Trì Hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
61,03/2021,1600000,15,"ngõ 151 nguyễn đức cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
60,03/2021,3000000,15,"Đường Bạch Mai, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
65,03/2021,3000000,30,"15, Đường Bờ Sông, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
67,03/2021,3200000,30,"31/88, Đường Ngọc Hà, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
69,03/2021,2000000,19,"Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội"
68,03/2021,3300000,25,"75/4, Đường Trần Quang Diệu, Phường Quang Trung, Quận Đống Đa, Hà Nội"
64,03/2021,2000000,30,"Đường Điện Biên Phủ, Phường Điện Biên, Quận Ba Đình, Hà Nội"
63,03/2021,2500000,25,"15, Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"
66,03/2021,1800000,20,"89D ngõ 113, Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội"
73,03/2021,2000000,21,"02TT33 KĐT Văn phú, Phường Phú La, Quận Hà Đông, Hà Nội"
70,03/2021,2000000,20,"454/31, Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
79,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
75,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
77,03/2021,2200000,16,"Đường Phan Trọng Tuệ, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội"
76,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
71,03/2021,1500000,14,"Ngõ 531/16/31 Bát Khối (Tổ 8 Thạch bàn), Phường Thạch Bàn, Quận Long Biên, Hà Nội"
78,03/2021,2000000,14,"186 nguyễn đình hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
74,03/2021,1800000,16,"Đường Tôn Thất Thuyết, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
72,03/2021,2500000,35,"77, Đường Láng Thượng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
85,03/2021,3000000,25,"Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội"
80,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
81,03/2021,3800000,25,"16, Đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội"
86,03/2021,3200000,30,"52, Đường Phú Mỹ||2324, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
82,03/2021,2500000,15,"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội"
84,03/2021,1800000,35,"Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội"
87,03/2021,1300000,15,"71, Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội"
83,03/2021,2000000,30,"Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội"
89,03/2021,2800000,30,"119, Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội"
88,03/2021,1350000,15,"354, Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội"
92,03/2021,1400000,20,"Đường Tố Hữu, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội"
90,03/2021,3100000,30,"117, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội"
94,03/2021,2000000,35,"454/31 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"
91,03/2021,2020000,661,"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
95,03/2021,2500000,25,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội"
96,03/2021,3300000,30,"Đường Đỗ Đức Dục||2245, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
98,03/2021,2200000,16,"Đường Lê Trọng Tấn, Phường Định Công, Quận Hoàng Mai, Hà Nội"
99,03/2021,1500000,17,"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
93,03/2021,3200000,30,"Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
103,12/2020,4700000,35,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
102,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
104,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
101,03/2021,4500000,40,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
105,03/2021,2800000,18,"25 Ngõ 113, Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
100,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
106,03/2021,1200000,25,"hoàng liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"
109,03/2021,4000000,40,"Đường Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
108,03/2021,2500000,18,"Số 9, Ngõ 11, đường Tây Hồ, Phường Quảng An, Quận Tây Hồ, Hà Nội"
110,03/2021,4500000,40,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
117,03/2021,1800000,17,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội"
114,03/2021,5000000,60,"P501b, Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội"
111,03/2021,2000000,28,"ngõ 1, Đường Bùi Xương Trạch, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
118,03/2021,3300000,25,"111, Đường Triều Khúc, Xã Tân Triều, Huyện Thanh Trì, Hà Nội"
115,03/2021,3400000,26,"Đường Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội"
112,03/2021,4800000,56,"Ngõ 31, Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội"
113,03/2021,3500000,20,"378, Đường Lê Duẩn, Phường Phương Liên, Quận Đống Đa, Hà Nội"
119,03/2021,3800000,25,"39 đình thôn, đình thôn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội"
116,03/2021,1000000,25,"89 ngõ 649 lĩnh nam, Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội"
120,03/2021,3000000,25,"41A, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
126,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
121,03/2021,2500000,40,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"
124,03/2021,1500000,25,"Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội"
128,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
127,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
129,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
122,03/2021,5000000,33,"Số 18 Ngõ 226 Cầu Giấy, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
123,03/2021,4000000,48,"Số 10, ngõ 48, phố Văn Trì, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội"
125,03/2021,3700000,30,"106 Ngõ 72/2, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
131,03/2021,2500000,15,"5 ngõ 7, Tú Mỡ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
138,03/2021,2500000,20,"Đường Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội"
132,03/2021,3000000,25,"Đường Miếu Đầm, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
130,03/2021,800000,10,"đường Mỹ Đình 1, Nam Từ Liêm, Hà Nội, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
136,03/2021,1500000,14,"số 20 ngõ 130, Đường Nguyễn Khoái, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội"
134,03/2021,1300000,642,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
139,03/2021,1700000,22,"sn 27 ngõ 211/237, Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
135,03/2021,2600000,30,"81, Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
137,03/2021,1600000,17,"trai cá, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
133,03/2021,3300000,40,"309, Đường Quan Thổ 1, Phường Hàng Bột, Quận Đống Đa, Hà Nội"
143,03/2021,1500000,22,"32 ngách 322/95/29, Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
142,03/2021,2500000,20,"sn 18, Ngõ 4 (Mới Đổi Thành Ngõ 36) AO SEN HÀ ĐÔNG, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
147,03/2021,3000000,35,"1D NGÕ 10, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
146,03/2021,2400000,25,"9a ngách 2 ngõ 48, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
140,03/2021,800000,18,"19, SỐ NHÀ 19 NGÕ 186 PHỐ TÂN PHONG THỤY PHƯƠNG QUẬN BẮC TỪ LIÊM GẦN HỒ CÂU PHONG VINH, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội"
149,03/2021,1200000,15,"39 ngõ 199 hồ tùng mậu, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội"
141,03/2021,1200000,16,"236 đường Khương Đìn, Đường Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội"
145,03/2021,1800000,20,"Ngách 91 Ngõ 54, Đường Ngọc Hồi, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội"
148,03/2021,3600000,35,"Đường Chùa Bộc, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội"
144,03/2021,2500000,20,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
152,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
150,03/2021,4500000,40,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
153,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
157,03/2021,3700000,30,"Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
158,03/2021,600000,6,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
159,03/2021,1600000,15,"Ngõ 103 dương quảng hàm SN 11, dương quảng hàm cầu giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
156,03/2021,2600000,25,"17 hẻm 36/23/17, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
154,03/2021,2200000,16,"Đường Phan Trọng Tuệ, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội"
155,03/2021,4000000,70,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"
151,01/2021,1000000,30,"số 103 ngõ 101, Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
162,03/2021,1600000,15,"Đường Quan Hoa, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
161,03/2021,2300000,20,"ngõ 158, Đường Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội"
165,03/2021,1500000,20,"354, Đường Trường Chinh, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
160,03/2021,1500000,15,"72D/2 ngõ 341, Đường Đê La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
169,03/2021,1500000,15,"18D/2 ngõ 204, Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
164,03/2021,3000000,25,"106, Đường Nghĩa Đô, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
163,03/2021,1800000,18,"42D ngõ 250/5, Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội"
168,03/2021,1500000,15,"Ngõ 34, Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
167,03/2021,3500000,25,"Đường Đông Tác, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
170,03/2021,3000000,40,"40/282, Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội"
179,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
173,03/2021,2400000,20,"207, Đường Phùng Hưng, Phường Văn Quán, Quận Hà Đông, Hà Nội"
175,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
178,03/2021,2200000,16,"Đường Phan Trọng Tuệ, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội"
177,03/2021,3600000,30,"56, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
176,03/2020,1390000,40,"Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
172,03/2021,1500000,15,"SN 63e trương định đuôi cá ngõ, trương định đuôi cá, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
174,03/2021,4300000,35,"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
171,03/2021,2000000,18,"Ngõ 20/85C, Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
180,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
181,03/2021,3000000,30,"Đường Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội"
183,03/2021,1500000,15,"34C ngõ 62, Đường Nguyễn Chí Thanh, Phường Nam Đồng, Quận Đống Đa, Hà Nội"
187,03/2021,2800000,18,"Miếu Đầm, Mễ Trì, Nam Từ Liêm, Hà Nội, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
188,03/2021,2700000,28,"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội"
189,03/2021,2800000,25,"Số 3 Ngõ 35, Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
185,03/2021,3600000,30,"ngõ 147, triều khúc, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội"
184,03/2021,4500000,35,"ngõ 39, hồ tùng mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
186,03/2021,3200000,25,"38, Đường Văn Chương 2, Phường Văn Chương, Quận Đống Đa, Hà Nội"
182,03/2021,1700000,15,"57D ngõ 191, Đường Minh Khai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội"
191,03/2021,2700000,20,"số nhà 19 ngách 62 ngõ 224, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
192,03/2021,2900000,25,"42, ngõ 32 đỗ đức dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
193,03/2021,1400000,14,"Ngõ 3a nghĩa tân SN 19d  1tr4, Đường Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội"
196,03/2021,3800000,30,"Ngõ 105, Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
195,03/2021,3500000,35,"Đường Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội"
190,03/2021,3000000,25,"2B ngõ 79/40/22, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
198,03/2021,2900000,26,"Yên Xá, Phường Văn Quán, Quận Hà Đông, Hà Nội"
199,03/2021,1800000,18,"17D/2 ngõ 38, Khúc Thừa Dụ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
197,03/2021,1800000,15,"Đường Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
194,03/2021,3200000,30,"260, Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
200,03/2021,4000000,35,"277 ngõ 275, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
202,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
204,03/2021,3600000,30,"56, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
201,02/2021,3800000,28,"71A/71, Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
208,03/2021,2000000,25,"12/61, Đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội"
203,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
205,03/2021,1200000,26,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
206,03/2021,2600000,25,"Đường Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội"
209,03/2021,4000000,30,"164, Đường Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
207,03/2021,3000000,15,"79, Đường Hai Bà Trưng, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội"
211,03/2021,3800000,34,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
212,03/2021,2500000,34,"Ngõ 259 Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội"
216,03/2021,1500000,15,"Số 1 ngõ 269, Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
213,03/2021,3700000,25,"Đường Hồng Hà, Phường Chương Dương, Quận Hoàn Kiếm, Hà Nội"
214,03/2021,2800000,25,"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội"
210,03/2021,1800000,20,"204 đường kim giang, Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội"
218,03/2021,3500000,30,"3, ngõ 212, Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
217,03/2021,3500000,25,"Đường Yên Hòa||927, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội"
215,03/2021,3500000,2,"Đường Vũ Tông Phan, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội"
219,03/2021,4000000,22,"Ngõ 34, Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
226,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
227,03/2021,2000000,30,"Đường Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
