stt,thoigian,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe,diachi,chitiet
0,05/2021,1200000,18.0,21.051138, 105.741269,Nhatang,3.0,166.0,KKK,1,2,0,0,0,0,0,0,0,1,1,0,0,1,"42 ngõ 132 Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội","- Phòng rộng 18m2 nhà cao tầng- Sân phơi rộng rãi, chỗ để xe an ninh tốt- Điện 4k/số, nước 120k/người/tháng - nước máy sạch sông đà- Phòng trọ gần trường THPT Trí Đức, Bx Mỹ Đình, vv"
1,05/2021,5800000,30.0,21.029645, 105.833721,Nhatang,5.0,2.0,Khepkin,1,2,1,1,1,1,1,1,1,1,0,0,1,1,"29 Ngõ Hàng Cháo, Phường Cát Linh, Quận Đống Đa, Hà Nội","Tháng 5 này Tòa Nhà VnaHomes 29 Ngõ Hàng Cháo Còn 2 Căn Hộ View Trực Diện SVĐ Hàng Đẫy ????Vị trí đắc địa ngay giữa các cung đường chính của Thủ Đô như Nguyễn Thái Học, Tôn Đức Thắng, Cát Linh, Trịnh Hoài Đức Chỉ cách Lăng Bác 200m, Văn Miếu 100m, Bệnh Viện Saint Paul Hà Nội 100m Đối diện Cổng 12 SVĐ Hàng Đẫy, cổng cho các Tuyển Thủ bóng đá, đường rộng 3 ô tô tránh nhau Tầng 1 Hầm để xe, Tầng 2 Siêu Thị Mini, Tầng 3 - 11 Căn Hộ VnaHomes, Tầng 12 Libré Homestay, Tầng 13 Phòng giặt sấy sân phơi Giờ giấc tự do, có bảo vệ trực 24/24, khóa từ vân tay, camera an ninh, nhân viên dọn vệ sinh chung hàng tuần Trang bị nội thất đầy đủ có, dịch vụ bảo trì bảo dưỡng hoàn toàn miễn phí  SeaGame 31 sắp diễn ra còn chần chờ gì nữa không thuê ngay 1 căn hộ xem trọn vẹn nhiều bộ môn thi đấu tại SVĐ Hàng Đẫy  Giá Ưu Đãi: 5.800.000đ / tháng (Hợp đồng tối thiểu 3 tháng đóng 1 cọc 1)  Địa chỉ : 29 Ngõ Hàng Cháo, P. Cát Linh, Q. Đống Đa, Hà Nội  VnaHomes - Hệ Thống Quản Lý Vận Hành Cho Thuê Căn Hộ"
4,05/2021,3000000,30.0,20.988861, 105.844538,Ccmn,3.5,131.0,Khepkin,1,2,1,0,1,1,0,0,1,1,0,0,0,1,"57/35 Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Cho thuê chung cư mini tại Số 57 Ngõ 35 Phố Nguyễn An Ninh - Tương Mai - Hoàng Mai – Hà Nội.(Chính chủ không qua trung gian)- Phòng đẹp, thiết kế tiện dụng, thoáng mát, công trình khép kín, riêng tư độc lập, đảm bảo xem là thích.- Còn phòng 20-30m2 có điều hòa thoáng mát .- Nhà vệ sinh khép kín xịn, tiện nghi, có Nóng lạnh.- Điện, nước, internet giá rẻ, công tơ điện riêng. - Có cáp Tivi, camera 24/24 yên tâm an ninh.- Để xe tầng 1 tiện lợi miễn phí, Ô tô đỗ đón tận cửa.- Giá: 3,0-3,8 tr/tháng ( thanh toán 2 tháng một lần, cọc 1 tháng) .- Địa Chỉ: Số 57 Ngõ 35 Phố Nguyễn An Ninh – Hà Nội. Liên hệ gọi điện hẹn trước thời gian xem phòng vào khoảng 11h-14h sáng và 17h-19h chiều, ngoài giờ đó thì gọi điện lhe trước. : Chị Trang 0934.672.806"
2,05/2021,3000000,20.0,21.032483, 105.849092,Nhatang,5.0,2.0,KKK,1,2,1,1,1,1,0,0,1,0,0,0,0,1,"43 Hàng Quạt, Phường Hàng Gai, Quận Hoàn Kiếm, Hà Nội","Chính chủ cho thuê phòng trọ phố hàng Quạt , phòng ở tầng 2 , có diện tích 20m2, tại số 43 Hàng Quạt, Phòng đã có 1 số đồ nội thất như điều hòa - giường - tủ, bàn ,,,giá thuê 2,2 triệu/tháng"
3,05/2021,3200000,28.0,21.035829, 105.795375,Ccmn,2.5,5.0,Khepkin,1,2,1,1,1,1,0,0,0,1,0,0,0,1,"42 Chùa Hà, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Cách mặt phố Chùa Hà 5m. Sát tòa Discovery Complex.Phòng rộng rãi, đủ tiện nghi: bình nóng lạnh, internet, điều hòa, tủ, giường,bếp, vệ sinh khép kín.Không chung chủ, giờ giấc thoải mái, điện nước giá dân. Chỗ để xe máy miễn phí.Giá từ 2tr7-3tr6"
0,04/2021,3000000,25.0,21.005950, 105.830360,Nhatang,3.0,50.0,Khepkin,1,2,1,0,0,1,0,0,0,0,0,0,1,1,"nhà số 12, ngõ 1 Chùa Bộc, Đống Đa, Hà Nội","Cho thuê phòng trọ tầng 4 nhà số 12, ngõ 1 Chùa Bộc, Đống Đa, Hà Nội. Phòng có điều hòa, quạt công tơ điện nước riêng. Gần các trường đại học lớn và cách mặt đường Chùa Bộc 10m, tiện đi lại, sinh hoạt."
1,04/2021,4100000,30.0,21.005935, 105.814570,Ccmn,2.8,106.0,Khepkin,1,2,1,1,1,1,1,0,1,1,0,0,1,1,"Số nhà 1 tổ 1 ngõ 213, Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội","Tòa nhà chung cư mini 8 tầng phố Giáp Nhất, gần cầu Cống Mọc, Phường Giáp Nhất mới cần cho thuê gấp. Tòa nhà xây mới 100%, 2 mặt tiền đều có ban công thoáng. Vị trí: Cạnh đường Láng, gần Ngã Tư Sở, cách Royal City 400m, giao thông thuận tiện đi lại dễ dàng. Nội thất: Các căn được thiết kế hiện đại và hợp lý, đầy đủ các tiện ích như: Gồm căn hộ studio và căn hộ chia 1 phòng ngủ và 1 phòng khách. Điều hòa 2 chiều, giường đôi, tủ quần áo, quạt trần. Khu bếp được trang bị bàn bếp, tủ bếp, chậu rửa bát. Nhà vệ sinh riêng biệt, khép kín, thiết bị vệ sinh Inax cao cấp, hệ thống nước nóng đầy đủ."
2,04/2021,3000000,20.0,21.009866, 105.798229,Nhatang,8.0,5.0,Khepkin,1,2,1,1,0,1,1,0,0,0,0,0,0,1,"166 Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội","Chính chủ cho thuê phòng trọ 166 Trần Duy Hưng. Phòng nhà mình setup đồ bao gồm điều hòa, nóng lạnh, giường, tủ quần áo kệ, tủ lạnh, lò vi sóng. Có nhà để xe rộng rãi... Giờ giấc đi lại thoải mái, tự do, an ninh tốt, có camera an ninh. Không chung chủ. Vị trí thuận tiện đi lại, gần ĐH Lao Động - Xã Hội, Big C... Giá siêu đẹp, chi phí siêu xinh."
3,04/2021,1200000,20.0,20.972612, 105.850008,Nhacap,2.2,169.0,Khepkin,1,2,0,0,0,0,0,0,0,0,1,0,0,1,"ngõ 141/172/20 phố Giáp Nhị Thịnh Liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Cho thuê nhà tại phố Giáp Nhị, Thịnh Liệt, Hoàng Mai, Hà NộiDiện tích phòng 20m2 có gác xép, công trình phụ khép kín, có sân phơi chỗ để xe an ninh rộng rãi thoáng mát, có intenet wifi. khu nhà ở gần chợ, đường trương định, tân mai, giải phóng, bến xe nc ngầm, giáp bát cách chỉ khoảng 1km 2km. thuận đủ tiện đường luôn.giá cho thuê là 1200k. ai có nhu cầu liên hệ số Chú Mai : 0942493741Địa chỉ : Ngõ 141/172/20 phố Giáp Nhị , Thịnh Liệt, Hoàng Mai , Hà Nội ( Đi đường cầu sét trương định thấy đường ven sông sau khu đô thị Nam Đô đâm thẳng đến cái giếng tròn là tới luôn rất dễ tìm, đường rộng)"
1,04/2021,2200000,18.0,21.008288, 105.818581,Nhatang,4.0,134.0,KKK,1,2,1,1,0,0,0,1,0,0,0,0,0,1,"51 Thái Thịnh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Nhượng phòng ngõ 51 thái thịnh 18m 2tr2 không chung chủ để xe tầng 1 nấu ăn tầng 2 máy giặt tầng 5 , phòng có sẵn tủ , kệ đựng sách ,lh : 0981020056 hoặc 0388436695"
4,04/2021,4000000,30.0,21.031284, 105.773229,Ccmn,3.0,92.0,Khepkin,1,2,1,1,1,1,0,1,0,1,0,1,1,1,"sn 25 Ngõ 20 Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê CCMN tại ngõ 20 đường Mỹ Đình.- Nội thất: ĐH, NL, giường, tủ, sofa, máy giặt chung...- Giá: Phòng đơn 4 triệu/tháng (30m2).1K1N giá 4,3tr (35m2).- Giá dịch vụ: Điện 3,5k nước 100k/ng, dịch vụ 130k/ng (mạng, thang máy, vệ sinh).- Không giới hạn người ở, không quy định giờ giấc.- Nhà 7 tầng 1 tum, phơi đồ trên sân thượng.- Hợp đồng 6 - 12 tháng, đóng 1 cọc 1.- Ô tô đỗ cách 100m, gần VinMart, gần cao đẳng y...Liên hệ trực tiếp để được tư vấn và xem phòng."
2,04/2021,2000000,16.0,21.007134, 105.850399,Nhatang,2.6,50.0,Khepkin,1,2,1,0,0,1,0,1,0,1,0,0,1,1,"sn 12 ngõ 67 Đê Tô Hoàng, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","MÔ TẢ: 02 phòng tại tầng 4 và tầng 5 tại ngõ 67, đê Tô Hoàng - Diện tích 16m2; - Vệ sinh khép kín, phòng sạch, đẹp, đồ đạc cơ bản có sẵn, có điều hoà, có máy giặt,... (có thể vào ở ngay) - Khu dân trí cao, yên tĩnh - Độc lập với nhà chủ - Có chỗ để xe miễn phí tại tầng 1 - Dễ dàng bắt xe bus ĐIỀU KIỆN: NGƯỜI THUÊ LÀ NỮGIÁ: Tầng 4: 2,2 triệu; Tầng 5: 2 triệu;Đóng tiền nhà 03 tháng 1 lần, cọc 01 tháng.LIÊN HỆ VÀ THOẢ THUẬN CHÍNH CHỦ: Chị Thu - Số điện thoại: 0988.907.727"
3,04/2021,2000000,25.0,20.980660, 105.821134,Nhatang,2.8,107.0,Khepkin,1,2,1,0,0,1,0,0,0,0,0,0,0,0,"Nhà 81 ngõ 18 Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","Cho nữ sinh viên thuê phòng trọ 30m2 (ở 1-3 người) tầng 2 hoặc 3 (của nhà 3 tầng): 2- 2.3 tr.đ/tháng-Có đầy đủ vệ sinh/bếp/ sân thượng và ban công rộng rãi riêng tư; có chỗ để xe tầng 1.-Có phòng khách dùng chung (tivi; mạng wifi FREE).-Phòng rộng sạch có điều hòa; nóng lạnh đầy đủ. Gần các trường đại học: Đại học Thăng Long; HV Ngân hàng; Thủy Lợi; Kinh Tế; Khoa học tự nhiên; …-Điện nước theo giá nhà nước, có đồng hồ riêng.-Giá thuê: 2 - 2.3 tr/tháng.Lưu ý: Chỉ cho nữ sinh viên thuê. yêu cầu hiền lành; học hành tử tế.Địa chỉ: Nhà 81 ngõ 18 Định Công Thượng (gần cầu Lủ). Có thể đi từ phố Trần Hòa sang (sát cây xăng – ngõ 2/55 Trần Hòa).Liên hệ: Chị Kiên: 091 289 3229 hoặc 0979 496 458."
4,04/2021,3000000,24.0,21.025232, 105.825651,Nhatang,3.0,155.0,Khepkin,1,2,1,0,1,1,0,0,0,0,0,0,0,0,"22 ngõ 127 ngách 38 Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Cho thuê phòng trọ khép kín ở phố Hào Nam (chính chủ), diện tích 24m2 gồm 2 phòng:Phòng 1: 18m2 (ngủ + sinh hoạt chung)Phòng 2: 6m2 (bếp + vệ sinh)Phòng đầy đủ tiện nghi: nóng lạnh, điều hòa, tủ bếp...Ở khu vực trung tâm, yên tĩnh, riêng biệt không chung với chủ nhà, thuận tiện đường đi.Gần chợ, siêu thị, cửa hàng tiện ích, cửa hàng tạp hóa, các trường ĐH Văn hóa, Mỹ Thuật, Nhạc viện, Bệnh viện Hà Thành..Phòng riêng biệt, an ninh tốt.Chủ nhà dễ tính, tâm lý"
6,04/2021,2500000,30.0,21.042294, 105.824030,Nhacap,2.5,37.0,Khepkin,1,2,0,0,1,0,0,0,0,0,0,0,0,1,"4A Ngõ 123 Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Nhà ở tầng 1, không cùng chủ và có lối đi riêng, nhà vệ sinh mới nâng cấp, nhà trong ngõ yên tĩnh và an ninh. Điện nước tính theo công tơ, Internet tự lắp đặt hoặc dung chung với nhà chủ (100.000 VNĐ/tháng). Nhà gần hồ Tây, bến xe bus 14 and 45 ở trước ngõ, gần siêu thị, các ngân hàng lớn (Vietcombank, Techcombank) và trường Chu Văn An. Cần tìm người ở lâu dài trên một năm và có ý thức.Cho thuê chính chủ không qua trung gian."
5,04/2021,3000000,20.0,21.052760, 105.810345,Nhatang,2.8,109.0,Khepkin,1,2,1,1,1,1,0,0,0,0,0,0,1,1,"số 27 ngõ 29 đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội","Bạn đang cần một phòng trọ khép kín (nội thất cơ bản; điều hòa; bình nóng lạnh...)?Hãy liên lạc với chúng tôi qua số điện thoại: 0904 29 62 29Chỗ chúng tôi :- trường học; bệnh viện; chợ; siêu thị bán kính 500m- đường xá giao thông thuận tiện cho việc di chuyển vào trung tâm nay ra ngoại thành thành phố mà không lo kẹt xe.- Hồ Tây với chỉ 5 phút đi bộ nên các bạn sẽ được hưởng bầu không khí thoáng đãng và có cơ hội tập luyện thể thao 0 đồng phù hợp với bạn nào yêu vận động.Hãy bốc máy gọi ngay cho chúng tôi qua số điện thoại: 0904 29 62 29 để biết thêm thông tin chi tiết."
1,04/2021,3200000,25.0,20.993089, 105.776766,Ccmn,3.2,81.0,Khepkin,1,2,1,1,1,1,0,0,0,1,0,1,1,1,"21 ngõ 1, đại linh Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê chung cư mini mới xây 100%, nhà xây 6 tầng có thang máy. Ngôi nhà được thiết kế hiện đại có khu nấu ăn riêng biệt, phòng có cửa sổ, ban công phơi đồ riêng, giếng trời rất thoáng mát.+ Vị trí: Số 21 ngõ 1 đường Đại Linh, Trung Văn, Nam Từ Liêm, Hà Nội. Ô tô đỗ cửa, Nhà cách đường Lê Văn Lương chỉ chỉ 200m, cách đường Đại Lộ Thăng Long 400m, đi sang KeangNam chỉ 10 phút, đi sang khu đô thị trung Hòa 10 phút,. Xung quanh tòa nhà có rất nhiều quán ăn, quán cafe, và nhiều tiện ích nữa...+ Bố trí ngôi ngôi nhà:- Tầng 1: Có 3 kiot cho thuê. Sân để xe rộng rãi...- Tầng 2: Thiết kế 3 phòng khép kín.- Tầng 3 đến tầng 5: Mỗi tầng thiết kế 4 phòng ở khép kín.- Tầng 6: Có 01 phòng ở và sân phơi.+ Nội thất: Điều hòa, Giường, tủ quần áo, bình nóng lạnh, bàn bếp, thiết bị vệ sinh...+ Tiện ích:- Có chỗ để xe ở tầng 1 rộng rãi...- An ninh tuyệt đối, có camera giám sát 24/24, khóa cửa vân tay an toàn chỉ người trong tòa nhà mới ra vào được.- Giờ giấc đi lại tự do thoải mái (không chung chủ).+ Giá cho thuê chỉ: 3,2tr - 3.4tr - 3,6 triệu/tháng.- Liên hệ: 0985.466.872"
2,04/2021,3000000,25.0,20.994792, 105.775407,Ccmn,2.3,123.0,Khepkin,1,2,1,0,0,0,0,0,0,0,0,0,0,1,"số 3 ngõ 28/28 Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Phù hợp để ở, làm kho để đồ+ Vị trí: số 3 ,Ngõ 28/28 Đại Linh, Trung Văn, Nam Từ Liêm, Hà Nội+ Giá 3 triệu/tháng.+ Diện tích 25m2.+ Nội thất: Điều hòa, nóng lạnh,bàn bếp+ Có ban công cực thoáng.+ Dịch vụ: Điện 3k; nước 30k, internet wifi 100k 1 tháng.+ Không chung chủ, giờ giấc thoải mái.+ Khóa vân tay, camera, bình cứu hỏa rất an toàn, tiện nghi.Liên hệ ngay: 0947.507.891Ưu tiên người đi làm, hộ gia đình tử tế ở"
0,04/2021,2500000,30.0,21.015084, 105.806747,Nhatang,2.0,100.0,Khepkin,1,2,0,1,0,0,0,0,0,0,1,0,0,1,"Số nhà 6 Ngách 594/35 Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà chỉ cho Nữ thuê . Nhà 2 tầng ,1 gác xép , 1 wc , . Điện nước giá nhà nước . Có chỗ để xe , nấu ăn ,phơi quần áo , không ở chung chủ . Có thể ở 2 đến 3 người . An ninh tốt , Gần Chợ Láng Hạ A thuận tiện trong sinh hoạt . Số nhà 6 Ngách 594/35 Đường Láng . Liên Hệ A Khanh :0342209282"
4,04/2021,3000000,25.0,20.994324, 105.776932,Nhatang,2.5,38.0,Khepkin,1,2,1,1,0,0,0,0,0,1,0,0,1,0,"10/18 Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","+ Phòng đẹp, rộng rãi, sạch sẽ, đầy đủ tiện nghi cao cấp.+Vị trí: số 18, ngõ 10, Đại Linh, Trung Văn, Hà Nội.+Diện tích: 25m2 khép kín...+Chỗ nẫu ăn riêng biệt, không lo bị mùi thức ăn bay vào phòng.+ Nội thất: Điều hòa, giường, tủ quần áo, rèm cửa, kệ bếp, hệ thống nhà vệ sinh đầy đủ...+Chỗ giữ xe rộng rãi, đảm bảo an toàn.+Giờ giấc đi lại thoải mái, nhà có lắp khóa vân tay nên chỉ người trong nhà mới đi ra vào được.Giá cho thuê: 3tr - 3.2 triệu/tháng.Liên hệ chủ nhà: Anh Hà.Số điện thoại: 0947.507.891"
