stt,thoigian,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe,diachi,chitiet
8,04/2021,3200000,20.0,21.009237,105.796901,Nhatang,4.0,42.0,Khepkin,7,4,0,0,1,1,0,1,0,1,0,0,0,1,"5/204 Trần Duy Hưng Đường Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội","Cho thuê nhà kiểu homestay 1,5tr/1ng/1th đầy đủ điện nước, bếp, vs, nóng lạnh, điều hòa. Nhà đẹp, gần BigC Thăng Long, các trường học.... . Địa chỉ ngách 5/204 Trần Duy Hưng, thông 20 Nguyễn Chánh, thông Trung Kính. Nhà 4 tầng, chỉ ở ghép 4 người/1 phòng lớn, 2 người phòng nhỏ nên rất thoải mái. Có thể thuê riêng phòng. bếp và để xe tầng 1, máy giặt tầng 4. Liên hệ trực tiếp chủ nhà. ( miễn môi giới)"
2,04/2021,4500000,25.0,21.047763,105.845833,Nhatang,3.6,188.0,Khepkin,12,6,1,0,0,0,0,0,0,1,0,1,0,0,"71/71 Đường Tân Ấp, Phường Phúc Xá, Quận Ba Đình, Hà Nội","Số 71/71 Tân Ấp và số 19/54 Nghĩa Dũng Phúc Xá, Ba Đình ( gần Yên Phụ, Hồ Trúc Bạch)+ Thiết kế 1 ngủ, 1wc khép kin, 1 bếp (có thêm Studio)+ Nhà thang máy, đầy đủ nội thất. chỉ cần xách vali vào là ở thôi+ ngay khu dân cư an ninh, yên tĩnh, dân trí cao..+ vị trí đắc địa ngay trung tâm hành chính Phúc Xá - Ba Đình HN.... Ngay trục đường chính rất thuận tiện giao thông,.....+ Gần chợ, trường học, siêu thị, bệnh viện, công viên, cửa hàng tiện lợi, giao thông công cộng, ngân hàng, ATM, quán xá,...+ Giá 4.5tr - 5tr - 7tr/tháng tùy phòng thoải mái lựa chọn theo nhu cầuLiên hệ chính chủ : 0988658955 ( zalo); cho thuê trực tiếp, ko mất phí môi giới"
1,04/2021,3200000,25.0,20.992904,105.776659,Nhatang,3.2,90.0,Khepkin,6,5,1,1,1,0,0,0,0,1,0,1,1,1,"21 ngõ 1 Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê chung cư mini mới xây 100%, nhà xây 6 tầng có thang máy. Ngôi nhà được thiết kế hiện đại có khu nấu ăn riêng biệt, phòng có cửa sổ, ban công phơi đồ riêng, giếng trời rất thoáng mát.+ Vị trí: Số 21 ngõ 1 đường Đại Linh, Trung Văn, Nam Từ Liêm, Hà Nội. Ô tô đỗ cửa, Nhà cách đường Lê Văn Lương chỉ chỉ 200m, cách đường Đại Lộ Thăng Long 400m, đi sang KeangNam chỉ 10 phút, đi sang khu đô thị trung Hòa 10 phút,. Xung quanh tòa nhà có rất nhiều quán ăn, quán cafe, và nhiều tiện ích nữa...+ Bố trí ngôi ngôi nhà:- Tầng 1: Có 3 kiot cho thuê. Sân để xe rộng rãi...- Tầng 2: Thiết kế 3 phòng khép kín.- Tầng 3 đến tầng 5: Mỗi tầng thiết kế 4 phòng ở khép kín.- Tầng 6: Có 01 phòng ở và sân phơi.+ Nội thất: Điều hòa, Giường, tủ quần áo, bình nóng lạnh, bàn bếp, thiết bị vệ sinh...+ Tiện ích:- Có chỗ để xe ở tầng 1 rộng rãi...- An ninh tuyệt đối, có camera giám sát 24/24, khóa cửa vân tay an toàn chỉ người trong tòa nhà mới ra vào được.- Giờ giấc đi lại tự do thoải mái (không chung chủ).+ Giá cho thuê chỉ: 3,2tr - 3.4tr - 3,6 triệu/tháng.- Liên hệ: 0985.466.872"
2,04/2021,3000000,30.0,21.083386,105.773739,Ccmn,5.5,4.0,Khepkin,8,5,1,1,1,1,0,1,0,0,0,0,1,1,"351 Đường Hoàng Tăng Bí, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội","Thông tin chi tiết về phòng: CHỈ CẦN MANG ĐỒ VÀO Ở (KHÔNG CẦN SẮM NHIỀU) PHÙ HỢPCHO AI THÍCH TÌM PHÒNG NGON- BỔ- RẺ- Giá: 2,7-3.0 tr- Địa điểm xung quanh : Đại học Mỏ, Y Tế, Nội Vụ, Tài Nguyên Môi Trường,…- Được trang bị đầy đủ, giường,bàn, nóng lạnh- Diện tích: 20 m2- Điều hò đầy đủ.- Nước giá dân- Điện giá dân(đỡ tiền điều hòa,nóng lạnh)- Internet: 70k / tháng- Vệ sinh:20k- Để xe: Miễn phí, chỗ để xe cũng thoải mái- Có máy giặt chung(không mất công tự giặt,hay tốn tiền mang ra tiệm)- Có ban công- Giờ giấc tự do, không chung chủ nhà- An ninh tốt, không xảy ra trường hợp mất cắp- Được phép nuôi thú cưng, miễn không gây ảnh hưởngngười xung quanh- Mọi thiết bị trong phòng đều mới nên sử dụng rất trơn tru nhé- Tối đa ở 2 người.- Gần các địa điểm đông dân cư, trường đại học, Vinmart, chợ...- Ảnh thật: Ib để tham khảo rõ hơn--------------------------------------IB/ZALO: 037 215 1998#phongtro #choo #nha #chungcu #lephat #chungcumini#nhady #nhatro"
5,04/2021,2300000,14.0,20.978092,105.7982,Nhatang,3.5,91.0,KKK,7,4,1,1,1,1,0,1,0,0,0,0,0,1,"26 NGÕ 241 Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội","- Còn 1 phòng tầng 2 giá 2tr3, 2 phòng chung 1 nhà vệ sinh- ở được luôn.- Ngõ rộng ô tô đỗ cửa- Nội thất điều hòa, nóng lạnh,, giường,tủ, phơi đồ, bàn, để xe miễn phí, camera an ninh, máy giặt- Thanh toán cọc 1 đóng 1Mô tả chung- Máy giặt dùng chung miễn phí- Chính chủ miễn môi giới- Điện 3,5k/ số- Nước 80k/ người.- Hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- Không ở chung chủ. Giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - Hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà"
0,04/2021,3000000,25.0,20.983049,105.800786,Ccmn,3.5,2.0,Khepkin,7,4,1,1,0,0,1,1,0,1,0,0,0,0,"111 Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội","Chung cư mini 111 Triều Khúc - Gần ĐH Công nghệ GTVTNhà thiết kế 5 tầng, các căn hộ khép kín, nội thất đầy đủCó 2 loại căn hộ chính* Loại 1: Căn hộ 1 ngủ, rộng 20m2, của sổ nhỏ: Giá 2tr8 - 3tr2* Loại 2: Căn hộ 1 ngủ, rộng 25m2, có cửa sổ to: Giá 3tr5-3tr7* Loại 3: Căn hộ 1 ngủ, 1 khách 35m2: Giá 4tr-4tr5Mô tả chung* Camer an ninh, Khóa cổng kiểm soát vân tay* Thiết kế: Khu bếp, vệ sinh khép kín* Nội thất: Điều hòa, Nóng lạnh, máy giặt, tủ lạnh, giường ngủ, tủ quần áo, bàn bếp, bàn làm việc, đệm…* Vệ sinh dọn dẹp hàng tuần* Điện 3,5k/số ; Nước 20k/khối* Hợp đồng dài hạn không tăng giá, giờ giấc thoải mái, tiếp bạn bè lịch sự thoải mái* Chính chủ, miễn trung gian* Nhắn zalo khi cần thông tin chi tiết"
1,04/2021,2400000,20.0,20.969195,105.786983,Nhatang,4.5,80.0,Khepkin,9,5,1,1,0,0,1,1,0,1,0,0,0,0,"207 Phố Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội","207 Phùng Hưng-Văn Quán-Cạnh bệnh viện 103-Cạnh chợ-Full nội thấtNhà thiết kế 5 tầng, nội thất đầy đủCó 3 loại căn hộ chính* Loại 1: Căn hộ 1 ngủ, WC 2 phòng chung 1, rộng 18m2, của sổ nhỏ: Giá 2tr3-2tr5* Loại 2: Căn hộ 1 ngủ, WC 2 phòng chung 1 rộng 22m2, có cửa sổ to: Giá 2tr6-2tr8* Loại 3: Căn hộ 1 ngủ 1 bếp, WC khép kín, rộng 40m2, cửa sổ to: Giá 3tr2Mô tả chung* Camer an ninh, Khóa cổng kiểm soát vân tay* Thiết kế: Khu bếp, vệ sinh khép kín* Nội thất: Điều hòa, Nóng lạnh, máy giặt, tủ lạnh, giường ngủ, tủ quần áo, bàn bếp, bàn làm việc, đệm…* Vệ sinh dọn dẹp hàng tuần* Điện 3,5k/số ; Nước 80k/người* Hợp đồng dài hạn không tăng giá, giờ giấc thoải mái, tiếp bạn bè lịch sự thoải mái* Chính chủ, miễn trung gian* Nhắn zalo khi cần thông tin chi tiết"
173,03/2021,2600000,26.0,21.055867,105.785115,Nhatang,5.0,2.0,Khepkin,8,6,0,0,1,0,0,1,0,0,0,0,0,0,"430 Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","không chung chủ. còn 2 phòng 26 m2  tại số 430 mặt đường trần cung, p cổ nhuế 1, q/ bắc từ liêm, vào ở ngay ( có hình ảnh)  có  mặt đường trần cung, rộng, cửa sổ rộng thoáng mát, rất tiện cho các bạn vừa ở, vừa kinh doanh online.ngoài ra rất gần bến xe buýt, gần chợ, gần trường công an nhân dân, đh điện lực, trường cán bộ thanh tra, đh mỏ, hv tài chính, chung cư bộ công an, greenstar, an bình city, kđt thành phố giao lưu, kđt resco, gần trường mần non, trường cấp 1,2 cổ nhuế giá : 1,6 tr đến 2,7tr.nhà có tầng hầm để,có máy giặt chung, sân phơi tầng 4, nóng lạnh, internet tấc độ cao, an ninh rất tốt.cần cho các bạn có ý thức giữ gìn trật tự và vệ sinh chung cao.hình thức thanh toán: cọc 1 tháng và thánh toán tháng 1.bạn nào có nhu cầu liên hệ sớm nhận  đẹp."
176,03/2021,3500000,25.0,21.076443,105.81496,Ccmn,4.8,6.2,Khepkin,10,7,1,0,1,0,1,0,1,1,0,1,0,0,"612 Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội","căn hộ mini cao cấp đầy đủ tiện nghi vệ sinh khép kín, số nhà 16 ngõ 612 lạc long quân phường nhật tân q.tây hồ 25m2 _ giá thuê 3,5 triệu/thángnội thất đầy đủ: điều hoà 2 chiều, giường gỗ, tủ gỗ đệm lò xo, chăn ga, tủ lạnh, khu bếp riêng,nóng lạnh,tivi, mỗi  1 đầu truyền hình cáp, máy giặt( tầng thượng)toà nhà được trang bị thang máy, camera an ninh 24/7 chỗ để xe thoải mái. ngay khu ẩm thực sen hồ tây, phố đi bộ trịnh công sơn, công viên nước hồ tây, thung lũng hoa hồ tây..hình ảnh chuẩn 100%: liên hệ chính chủ : a.tuân 0983326100"
178,03/2021,3700000,25.0,21.062474,105.833805,Ccmn,3.0,124.0,Khepkin,8,5,1,0,1,0,1,1,1,1,0,0,0,1,"số nhà 28 ngõ 28/75 Tứ Liên, Phường Tứ Liên, Quận Tây Hồ, Hà Nội","full đồ khép kín.địa chỉ: số nhà 28 ngõ 28/75 tứ liên, tây hồ, hà nội ( hoặc ngõ 310/50 nghi tàm rẽ trái)  : full đồ ( điều hoà casper 12000 2 chiều, nóng lạnh, giường tủ gỗ, tivi samsung 4k 43inch, tủ lạnh máy giặt)  25m2: 3.700.000 vnd tầng 1:  khách: tivi samsung 4k 49inch có tủ lạnh panasonic 255l, bếp từ đôi, camera an ninh 24/24, chỗ để xe thoải mái tầng thượng: có máy giặt sân phơi thoáng mátngười thuê chỉ việc sách đồ cá nhân đến ở.nhà không chung chủ, gần hồ tây, gần chợ, siêu thị, lên phố chơi chỉ mất 5 phút xe máy, khu ở thoáng mát sạch sẽ, nhiều người nước ngoài sinh sống. chuẩn 100% như ảnhliên hệ chính chủ: 0983.326.100 ( a.tuân)"
175,03/2021,3300000,25.0,20.992125,105.846684,Ccmn,2.1,204.0,Khepkin,5,6,1,1,1,0,0,0,0,1,1,0,0,0,"74/ 176 Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","do chuyển công tác nên gia đình nhượng lại  ở 74/176 trương định. ngõ rộng 2m, lát gạch sạch sẽ.nhà mới xây được 2 năm, rộng 25m2, gác xép 10m2, cách bách - kinh - xây 1km. gần chợ, trường mẫu giáo, cấp 1, cấp 2 tân định cách 700m,nằm trong khu dân trí cao, an ninh cực kỳ đảm bảo. nhà có 3 cửa sổ, ngõ rộng, cực kỳ thông thoáng, nhà tắm sạch sẽ, có sẵn bình nóng lạnh. nhà riêng biệt, ko chung chủ, giờ giấc tự do, thoải mái.gia đình để lại tủ quần áo gỗ rộng 1,6m, bàn gỗ mặt kính để ăn cơm hoặc làm việc đều được, bếp ga đôi, giá bát, sẵn bình nóng lạnh, quạtthích hợp cho hộ gia đình trẻ hoặc sinh viên 3,4 người ở thoải mái. điện và nước tính theo giá nhà nước cực kỳ rẻ. giá  đang thuê là 3,3tr/tháng. thanh toán 1 tháng 1 vào ngày 1-3dl (cọc theo hợp đồng là 4tr). hợp đồng đang ký là 1 năm,  mới ở được 1,5 tháng nên  hỗ trợ cọc còn 3 tr. hết hợp đồng nhận về 4 tr.nhận  tháng 3,  hỗ trợ tiền  đến hết tháng."
153,03/2021,3000000,40.0,21.022537,105.771257,Ccmn,2.2,311.0,Khepkin,9,7,1,0,1,1,1,1,0,1,0,0,1,1,"6A ngõ 322/125 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","căn hộ chung cư mini cao cấp tại ngõ 322 đường mỹ đình, phường mỹ đình 1, nam từ liêm, hà nội bạn đang mong muốn sống trong 1 căn hộ tiện nghi, văn minh của chung cư mini cao cấp như chính nhà của ? bạn đang mong muốn thuê căn hộ giá cả hợp lý mà lại rất chất lượng?tôi đang có căn hộ  tại địa chỉ: ngõ 322/125 đường mỹ đình, phường mỹ đình 1, quận nam từ liêm, hà nội (nhà số 6a ngay đầu ngõ, đi vài bước chân là ra cung thể thao dưới nước, sân vận động quốc gia mỹ đình). cách nhà mặt đường 1 số nhà, từ nhà ra đường 10m, ngõ sạch đẹp, oto tải vào. bãi gửi xe ô tô cách nhà 20m.* khu vực gần chợ, trường học, thuận tiện đi lại, sinh hoạt.  thoáng mát, thuận tiện cách: sân vận động quốc gia mỹ đình 3 phút, bến xe mỹ đình 8 phút, 2 phút ra các loại trường từ mẫu giáo đến trường cấp 1, 2, 3 mỹ đình, trường cao đẳng công nghệ bách khoa hà nội.* căn hộ mới xây 5 tầng thiết kế đẹp, hiện đại; mỗi tầng 1  hoặc 2 . tất cả các  đều có điều hòa inverter, vệ sinh có bình nóng lạnh, mỗi  đều được trang bị giường 1,6m - 1,8m, tủ quần áo lớn mới tinh. internet tốc độ cao, wifi đến từng . các  khép kín, có ban công, cửa sổ thoáng mát ngập tràn ánh sáng tự nhiên. không gian sống thoáng đãng, yên tĩnh, tiện nghi, văn minh, sạch sẽ, có vệ sinh lau dọn hàng tuần.* nội thất: khu bếp nấu ăn riêng biệt đảm bảo đun nấu không có mùi trong nhà, tủ bếp bằng gỗ, thiết kế cả trên và dưới, tạo nhiều không gian để đồ. sàn gỗ ấm áp, sạch sẽ; giường+ tủ comple mới tinh được đóng theo model hiện đại, nhà vệ sinh khép kín, bệt, lavabo toto, nóng lạnh, điều hòa, tủ lạnh, bếp từ, cửa sổ kính an toàn 2 lớp .... cửa ra vào dùng khoá thẻ từ thuận tiện, an ninh tốt, camera 24/7 giám sát từng tầng. máy giặt miễn phí, có sân phơi đồ trên tầng thượng. nhà mới 100% vào ở được ngay.* giá điện 3k200/kwh, wifi 100k/, truyền hình 200 kênh 30k/tháng* chỗ để xe rộng, miễn phí. không chung chủ.* giá thuê các căn hộ từ: 3tr- 5.5tr/tháng (căn hộ 1pn + 1vs + 1bếp + 1 ban công riêng). liên hệ ngay để sở hữu cho  căn hộ ưng ý nhất. ưu tiên hộ gia đình, người đi làm, lịch sự, ở lâu dài.* sđt (zalo): nguyễn cường 0912.263262/0948051978"
154,03/2021,2000000,35.0,21.080078,105.909014,Nhatang,2.7,80.0,Khepkin,6,5,1,0,1,0,1,1,0,1,0,0,0,0,"Sn 32 ngõ 12 Đường Thiên Đức, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội","ở lâu dài tại khu vực gia lâm, hà nội (đầu cầu đuống, mặt đường quốc lộ, gần chợ, gần bến xe buýt, đi lại thuận tiện).  có công trình phụ khép kín, mát mẻ, sạch sẽ hợp vệ sinh.  ngủ rộng 20m2,  ăn và bếp 15m2. nhà vệ sinh có sẵn vòi tắm sen, bình nóng lạnh. có sẵn máy giặt, tủ lạnh. điện, nước có đồng hồ riêng, có internet, truyền hình cáp. giá rẻ 2 triệu,  đẹp như ở chung cư mới. phù hợp cho những gia đình làm công nhân, cặp vợ chồng có con nhỏ. liên hệ với chị lê thị thủy: 0911072968 (lh ngoài giờ hành chính). xem hình ảnh chi tiết trên youtube: https://youtu.be/yzj1qwlxoak"
162,03/2021,3500000,25.0,21.076172,105.815342,Ccmn,4.8,3.0,Khepkin,11,7,1,0,1,0,1,0,1,1,0,1,0,0,"số nhà 16 ngõ 612 Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội","cho thuê Ccmn kín full đồ (có thể chuyển vào ngay)- số nhà 16 ngõ 612 lạc long quân - tây hồ. ( ngay khu ẩm thực sen hồ tây, phố đi bộ trịnh công sơn, công viên nước hồ tây, thung lũng hoa hồ tây)-  25m2: điều hoà 2 chiều, giường gỗ, tủ gỗ đệm lò xo, chăn ga, tủ lạnh, khu bếp riêng,nóng lạnh,tivi, mỗi  1 đầu truyền hình cáp .toà nhà được trang bị thang máy, máy giặt( tầng thượng),camera an ninh 24/7- giá thuê: 3tr5/tháng. hình ảnh thật 100%- liên hệ chính chủ :miễn quảng cáo, môi giới"
219,12/2020,2000000,28.0,21.009421,105.867881,Nhatang,4.3,38.0,Khepkin,2,6,0,0,0,0,0,0,0,0,0,0,1,0,"Số 7 ngõ 848 Đường Bạch Đằng, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","cho hộ gia đình thuê tầng 2 diện tích 28m2, khép kín, điện nước riêng, có ban công, chỗ nấu ăn, cách bờ sông 50m, không khí tốt, gần chợ, trường học, bệnh viện hữu nghị, bệnh viện 108, khu times city. giá: tầng 5: 2 trđ. tầng 3,4: 2,3 trđ. không nhận sinh viên. liên hệ: 0983127282, từ 17h30- 23h hàng ngày và cả ngày thứ 7, chủ nhật"
